,Planet$_b$,Period$_b$,"T$_0,$$_b$",$\sqrt{e}\cos \omega$$_b$,$\sqrt{e}\sin \omega$$_b$,i$_b$,$\Omega$$_b$,"M$_{jup,}$$_b$",R$_p$/R$_s$$_b$,Planet$_c$,Period$_c$,"T$_0,$$_c$",$\sqrt{e}\cos \omega$$_c$,$\sqrt{e}\sin \omega$$_c$,i$_c$,$\Omega$$_c$,"M$_{jup,}$$_c$",R$_p$/R$_s$$_c$,Planet$_d$,Period$_d$,"T$_0,$$_d$",$\sqrt{e}\cos \omega$$_d$,$\sqrt{e}\sin \omega$$_d$,i$_d$,$\Omega$$_d$,"M$_{jup,}$$_d$",R$_p$/R$_s$$_d$,M$_s$,R$_s$,c$_1$,c$_2$,dilute,chisq,Chain#
4,0.1,2.508238683557223,2021.0736467499496,0.0,0.0,89.3039486433954,0.0,0.019794867953731,0.012512806045105,0.2,7.922382869988917,2027.902972578445,-0.133226814135611,-0.344232778352873,88.39133671049633,0.0,0.103196629719911,0.076819894797123,0.3,11.897905116460205,2020.0017801777228,-0.075408324461136,-0.394554982634727,88.81659621604692,0.0,0.03618305981728,0.045539534264702,0.898196632852079,0.872179160570928,0.264297978088358,0.444293537540737,0.0,3482.23040742588,4
5,0.1,2.508445127819949,2021.0747525254787,0.0,0.0,89.63737942718461,0.0,0.014144457320212,0.012199586262828,0.2,7.922330820862013,2027.903014889668,-0.136195914643423,-0.341184835453792,88.44214852565365,0.0,0.104755912712286,0.076938892912474,0.3,11.89782240647353,2020.0017002768764,-0.077970949494193,-0.393347632508085,88.84133554210301,0.0,0.035497695055884,0.045544882447965,0.899837158731002,0.863533805663754,0.296285895119267,0.398320694134745,0.0,3493.12541896661,4
6,0.1,2.508053471490444,2021.0735278841908,0.0,0.0,89.80583879202976,0.0,0.019180774305208,0.01193944773056,0.2,7.922430157591696,2027.9030620426377,-0.13251339037566,-0.332663830223773,88.53921509101647,0.0,0.102830375807027,0.076684091509762,0.3,11.897560590625504,2020.0015087752345,-0.074740538313928,-0.386530862433208,88.91281220678347,0.0,0.03641769639384,0.045665279345632,0.900656294610669,0.846259982775427,0.39469737470625,0.246302700530502,0.0,3477.45623553392,4
0,0.1,2.507921001904583,2021.0706782431268,0.0,0.0,89.91985823517153,0.0,1.345686184e-05,0.012121194829234,0.2,7.922373945799753,2027.90278875618,-0.115298491834364,-0.355689875521815,88.40846505066139,0.0,0.100239751886734,0.077435751058359,0.3,11.897966857711433,2020.0010129463603,-0.060093546029505,-0.394793161099268,88.8227146625178,0.0,0.035253976373048,0.045868001874153,0.898957866688576,0.883068537087713,0.302268649727447,0.363042353536172,0.0,6534.18695299,5
1,0.1,2.507921001904583,2021.0706782431268,0.0,0.0,89.91985823517153,0.0,1.345686184e-05,0.012121194829234,0.2,7.922373945799753,2027.90278875618,-0.115298491834364,-0.355689875521815,88.40846505066139,0.0,0.100239751886734,0.077435751058359,0.3,11.897966857711433,2020.0010129463603,-0.060093546029505,-0.394793161099268,88.8227146625178,0.0,0.035253976373048,0.045868001874153,0.898957866688576,0.883068537087713,0.302268649727447,0.363042353536172,0.0,6534.18695299,5
2,0.1,2.507921001904583,2021.0706782431268,0.0,0.0,89.91985823517153,0.0,1.345686184e-05,0.012121194829234,0.2,7.922373945799753,2027.90278875618,-0.115298491834364,-0.355689875521815,88.40846505066139,0.0,0.100239751886734,0.077435751058359,0.3,11.897966857711433,2020.0010129463603,-0.060093546029505,-0.394793161099268,88.8227146625178,0.0,0.035253976373048,0.045868001874153,0.898957866688576,0.883068537087713,0.302268649727447,0.363042353536172,0.0,6534.18695299,5
3,0.1,2.507931856524206,2021.0690332825448,0.0,0.0,89.87266191861441,0.0,0.015979567155646,0.011431252886641,0.2,7.922307680715384,2027.9029136493143,-0.117208751429729,-0.349548745577588,88.40114629802598,0.0,0.103206017342935,0.076617427866526,0.3,11.8981231499106,2020.0010417122617,-0.064156326170142,-0.397626288596006,88.79252651811889,0.0,0.035672101502226,0.045979082456104,0.899193783346251,0.872110730871731,0.320060469613699,0.398750510518361,0.0,3499.10379083578,5
4,0.1,2.50798904978465,2021.0707442770583,0.0,0.0,89.85607860843533,0.0,0.021184084777878,0.012559603529177,0.2,7.922502212010955,2027.9032638872327,-0.079377334626981,-0.329124560228098,88.43598682261587,0.0,0.100354556988514,0.077088905439266,0.3,11.897236434047876,2020.001809895916,-0.035445508183553,-0.379943128702753,88.863629774707,0.0,0.036301197193482,0.045478305567221,0.903004450956259,0.866743979263913,0.401847184228982,0.224656503508239,0.0,3491.23197827667,5
5,0.1,2.508276727286215,2021.0725529633792,0.0,0.0,89.48186362715495,0.0,0.004231585977614,0.012540730336127,0.2,7.922285759242744,2027.903006444394,-0.125288025312482,-0.322114013648605,88.52915171227043,0.0,0.10345192338098,0.076567024382635,0.3,11.897570663941414,2020.0017742569617,-0.068086102389633,-0.378449181248719,88.90790778443478,0.0,0.034794057163314,0.045510475335245,0.900996356067263,0.849634903990887,0.391907539359777,0.243828069562642,0.0,3478.888799727,5
6,0.1,2.508037263073984,2021.0755312158387,0.0,0.0,89.26333295632314,0.0,0.002593278576905,0.012062651390858,0.2,7.922291235889618,2027.903079381034,-0.1414114320808,-0.312250033282123,88.57444187881073,0.0,0.10220814927599,0.076213610647225,0.3,11.897378126222565,2020.001037820383,-0.078791159140258,-0.372380520479002,88.93589528240953,0.0,0.034205404417682,0.0453274364477,0.894791589129298,0.847221927591293,0.392142015510134,0.291280403113719,0.0,3482.31227668286,5
0,0.1,2.507920952799019,2021.070678196745,0.0,0.0,89.91988752294634,0.0,1.3730407212e-05,0.012119830581047,0.2,7.922373513188804,2027.9027890078607,-0.115300147933863,-0.355690508784514,88.40847464935808,0.0,0.100250178076909,0.077405969820816,0.3,11.897966732249571,2020.0010129725608,-0.060093422207193,-0.394792962194788,88.82268356687084,0.0,0.035249479033609,0.045847699206633,0.898957654316278,0.883069909579212,0.302266543748143,0.363043672540368,0.0,6523.91825004947,6
1,0.1,2.507920952799019,2021.070678196745,0.0,0.0,89.91988752294634,0.0,1.3730407212e-05,0.012119830581047,0.2,7.922373513188804,2027.9027890078607,-0.115300147933863,-0.355690508784514,88.40847464935808,0.0,0.100250178076909,0.077405969820816,0.3,11.897966732249571,2020.0010129725608,-0.060093422207193,-0.394792962194788,88.82268356687084,0.0,0.035249479033609,0.045847699206633,0.898957654316278,0.883069909579212,0.302266543748143,0.363043672540368,0.0,6523.91825004947,6
2,0.1,2.507920952799019,2021.070678196745,0.0,0.0,89.91988752294634,0.0,1.3730407212e-05,0.012119830581047,0.2,7.922373513188804,2027.9027890078607,-0.115300147933863,-0.355690508784514,88.40847464935808,0.0,0.100250178076909,0.077405969820816,0.3,11.897966732249571,2020.0010129725608,-0.060093422207193,-0.394792962194788,88.82268356687084,0.0,0.035249479033609,0.045847699206633,0.898957654316278,0.883069909579212,0.302266543748143,0.363043672540368,0.0,6523.91825004947,6
3,0.1,2.508133082067397,2021.07113145961,0.0,0.0,89.7593337332854,0.0,0.04516055539233,0.010995490196406,0.2,7.922537487556495,2027.9032558628023,-0.111557472227916,-0.340122295213172,88.44986889026082,0.0,0.1019371375725,0.076467069907978,0.3,11.89763913566192,2020.0010916840783,-0.059186257333219,-0.389619898828422,88.87759133726432,0.0,0.035391675844145,0.045569777158707,0.901285496319433,0.865776043392291,0.359094146500777,0.35772425180089,0.0,3519.77399988899,6
4,0.1,2.508117462220329,2021.072936778832,0.0,0.0,89.84132285922584,0.0,0.023059226921508,0.011916244553462,0.2,7.922365157778827,2027.9029949575904,-0.095812349340696,-0.342452399854824,88.43972863692004,0.0,0.103500330842262,0.07666988740052,0.3,11.897759141144396,2020.0013992205656,-0.048031991036639,-0.390910806540752,88.86711231982996,0.0,0.034884073058558,0.04539181180678,0.904930353899434,0.869720118769488,0.384951856179271,0.317785452177686,0.0,3481.45089651021,6
5,0.1,2.508214615714985,2021.0731744465904,0.0,0.0,89.79151746029834,0.0,0.016913772518465,0.012166942786966,0.2,7.922361360006192,2027.9030066934808,-0.088697139258164,-0.340776489926292,88.41037730535615,0.0,0.102207585070933,0.077143297170632,0.3,11.897714513951447,2020.0011837660652,-0.042403581010075,-0.388698357459988,88.83750330985134,0.0,0.035442501438021,0.045480390369075,0.902705608161953,0.869108815710672,0.405930934576273,0.232229065028697,0.0,3482.94399806194,6
6,0.1,2.508263789072837,2021.0731372579369,0.0,0.0,88.9293692588082,0.0,0.019097774313451,0.011936166050148,0.2,7.922361634027622,2027.902876862104,-0.065653816882541,-0.319341801319584,88.36487697213664,0.0,0.1003401374489,0.077008765924007,0.3,11.89744735935768,2020.0010824544431,-0.023272722409494,-0.371487680736494,88.77916798548723,0.0,0.033628978153739,0.045586968633619,0.891751543709271,0.88128348910154,0.4397641071541,0.220073826765012,0.0,3485.22108307576,6
0,0.1,2.507920945858483,2021.0706782032173,0.0,0.0,89.91984418142441,0.0,1.1341954202e-05,0.012121075940503,0.2,7.922373893099403,2027.9027889129095,-0.115298890917302,-0.355689659058056,88.40849146507178,0.0,0.100230705427049,0.077408097453326,0.3,11.897967071261409,2020.0010126363068,-0.060095726828485,-0.394794437197587,88.82270402438334,0.0,0.035246953203683,0.04588833116622,0.898957852578034,0.88307104574067,0.30227054949405,0.36304443080373,0.0,6521.94283308487,7
1,0.1,2.507920945858483,2021.0706782032173,0.0,0.0,89.91984418142441,0.0,1.1341954202e-05,0.012121075940503,0.2,7.922373893099403,2027.9027889129095,-0.115298890917302,-0.355689659058056,88.40849146507178,0.0,0.100230705427049,0.077408097453326,0.3,11.897967071261409,2020.0010126363068,-0.060095726828485,-0.394794437197587,88.82270402438334,0.0,0.035246953203683,0.04588833116622,0.898957852578034,0.88307104574067,0.30227054949405,0.36304443080373,0.0,6521.94283308487,7
2,0.1,2.507920945858483,2021.0706782032173,0.0,0.0,89.91984418142441,0.0,1.1341954202e-05,0.012121075940503,0.2,7.922373893099403,2027.9027889129095,-0.115298890917302,-0.355689659058056,88.40849146507178,0.0,0.100230705427049,0.077408097453326,0.3,11.897967071261409,2020.0010126363068,-0.060095726828485,-0.394794437197587,88.82270402438334,0.0,0.035246953203683,0.04588833116622,0.898957852578034,0.88307104574067,0.30227054949405,0.36304443080373,0.0,6521.94283308487,7
